MeetID;LifterID;Name;Sex;Event;Equipment;Age;Division;BodyweightKg;WeightClassKg;Squat1Kg;Squat2Kg;Squat3Kg;Squat4Kg;Best3SquatKg;Bench1Kg;Bench2Kg;Bench3Kg;Bench4Kg;Best3BenchKg;Deadlift1Kg;Deadlift2Kg;Deadlift3Kg;Deadlift4Kg;Best3DeadliftKg;TotalKg;Place;Wilks;McCulloch
11394;71241;Gary Kachar;M;B;Single-ply;;M2b;129.4;125+;;;;;;;;;;152;;;;;;152;1;86.04;86.04
3095;59677;Gary Kaiser;M;SBD;Raw;53.5;Masters 2;71.95;74;-182.5;;;;-182.5;;;;;;;;;;;;DQ;;
3107;59677;Gary Kaiser;M;SBD;Raw;55.5;Masters 2;72.84;74;175;-182.5;182.5;;182.5;127.5;-135;-135;;127.5;220;227.5;-235;;227.5;537.5;3;391.04;391.04
10443;59677;Gary Kaiser;M;SBD;Raw;;R-M2a;73.4;74;;;;;182.5;;;;;137.5;;;;;220;540;1;390.69;390.69
11029;59677;Gary Kaiser;M;SBD;Raw;53;Masters 50-54;73.7;74;-185;-185;185;;185;137.5;140;-142.5;;140;220;230;;;230;555;1;400.37;474.04
11038;59677;Gary Kaiser;M;SBD;Raw;;R-M2a;73.3;74;142.5;;;;142.5;130;137.5;-143;;137.5;207.5;-227.5;;;207.5;487.5;1;353.05;353.05
11044;59677;Gary Kaiser;M;SBD;Raw;;R-M2b;73.6;74;165;-182.5;-182.5;;165;127.5;-135;;;127.5;207.5;227.5;-232.5;;227.5;520;1;375.49;375.49
326;15598;Gary Katzen;M;B;Single-ply;;Master 1;101.5;110;;;;;;;;;;165;;;;;;165;1;99.83;99.83
3049;15598;Gary Katzen;M;B;Single-ply;44.5;Masters 1;105.2;110;;;;;;-170;175;-190;;175;;;;;;175;8;104.50;104.50
3079;15598;Gary Katzen;M;B;Single-ply;49.5;Masters 2;104;105;;;;;;170;-180;-210;;170;;;;;;170;7;101.93;101.93
11390;160070;Gary Kenske;M;SBD;Raw;39.5;R-O;104.1;105;152.5;167.5;172.5;;172.5;117.5;-127.5;127.5;;127.5;170;190;205;;205;505;3;302.69;302.69
7560;88217;Gary Kiblin;M;SBD;Multi-ply;;Pro Master 40-44;109.63;110;;;;;362.87;;;;;;;;;;;;DQ;;
7570;88217;Gary Kiblin;M;SBD;Multi-ply;;Pro Master 40-44;108.86;110;;;;;328.85;;;;;226.8;;;;;274.42;830.07;1;490.08;490.08
11771;88217;Gary Kiblin;M;;Multi-ply;45;Master Men 45-49;110.31;125;;;;;;;;;;237.5;;;;;277.5;515;1;302.81;319.47
